Date,Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
8/18/2020 11:40,115.00,115.01,114.86,114.91,114.52,114.83,114.94,114.86
8/18/2020 11:45,114.91,114.97,114.82,114.90,114.52,114.84,114.93,114.86
8/18/2020 11:50,114.90,114.94,114.80,114.92,114.52,114.84,114.93,114.87
8/18/2020 11:55,114.92,115.10,114.90,115.09,114.53,114.84,114.96,114.89
8/18/2020 12:00,115.09,115.18,115.02,115.13,114.53,114.84,114.99,114.91
8/18/2020 12:05,115.13,115.29,115.10,115.27,114.53,114.85,115.04,114.94
8/18/2020 12:10,115.26,115.42,115.26,115.34,114.54,114.85,115.09,114.98
8/18/2020 12:15,115.34,115.47,115.34,115.41,114.54,114.86,115.15,115.02
8/18/2020 12:20,115.41,115.43,115.25,115.35,114.54,114.86,115.19,115.05
8/18/2020 12:25,115.35,115.39,115.28,115.30,114.55,114.87,115.21,115.08
8/18/2020 12:30,115.30,115.37,115.28,115.31,114.55,114.88,115.23,115.10
8/18/2020 12:35,115.31,115.47,115.30,115.35,114.55,114.89,115.25,115.12
8/18/2020 12:40,115.35,115.46,115.34,115.43,114.55,114.89,115.28,115.15
8/18/2020 12:45,115.43,115.65,115.40,115.63,114.56,114.91,115.35,115.20
8/18/2020 12:50,115.64,115.71,115.49,115.58,114.56,114.92,115.39,115.24
8/18/2020 12:55,115.59,115.62,115.41,115.47,114.56,114.94,115.40,115.26
8/18/2020 13:00,115.47,115.47,115.30,115.38,114.56,114.95,115.40,115.27
8/18/2020 13:05,115.38,115.38,115.21,115.24,114.56,114.96,115.37,115.27
8/18/2020 13:10,115.24,115.38,115.22,115.36,114.56,114.97,115.37,115.28
8/18/2020 13:15,115.37,115.44,115.31,115.40,114.57,114.98,115.37,115.29
8/18/2020 13:20,115.40,115.47,115.40,115.44,114.57,114.99,115.39,115.30
8/18/2020 13:25,115.44,115.54,115.33,115.36,114.58,114.99,115.38,115.31
8/18/2020 13:30,115.36,115.63,115.36,115.58,114.59,115.00,115.42,115.33
8/18/2020 13:35,115.59,115.68,115.58,115.61,114.60,115.02,115.45,115.36
8/18/2020 13:40,115.61,115.68,115.56,115.66,114.61,115.04,115.49,115.39
8/18/2020 13:45,115.66,115.86,115.64,115.86,114.62,115.07,115.56,115.43
8/18/2020 13:50,115.86,115.88,115.70,115.81,114.63,115.07,115.60,115.47
8/18/2020 13:55,115.81,115.81,115.68,115.77,114.64,115.09,115.63,115.50
8/18/2020 14:00,115.77,115.78,115.61,115.65,114.65,115.10,115.64,115.51
8/18/2020 14:05,115.65,115.71,115.55,115.65,114.66,115.13,115.64,115.52
8/18/2020 14:10,115.65,115.84,115.63,115.82,114.67,115.15,115.67,115.55
8/18/2020 14:15,115.82,115.83,115.70,115.73,114.68,115.17,115.68,115.57
8/18/2020 14:20,115.74,115.92,115.74,115.90,114.69,115.21,115.72,115.60
8/18/2020 14:25,115.90,116.00,115.85,115.99,114.70,115.24,115.77,115.64
8/18/2020 14:30,115.99,116.00,115.87,115.92,114.72,115.27,115.80,115.66
8/18/2020 14:35,115.92,115.97,115.80,115.82,114.73,115.30,115.80,115.68
8/18/2020 14:40,115.82,115.87,115.74,115.76,114.74,115.33,115.79,115.69
8/18/2020 14:45,115.76,115.81,115.70,115.78,114.75,115.36,115.79,115.69
8/18/2020 14:50,115.78,115.78,115.60,115.69,114.76,115.38,115.77,115.69
8/18/2020 14:55,115.69,115.83,115.69,115.72,114.78,115.40,115.76,115.70
8/18/2020 15:00,115.71,115.79,115.64,115.69,114.79,115.42,115.75,115.70
8/18/2020 15:05,115.69,115.70,115.40,115.48,114.80,115.43,115.70,115.67
8/18/2020 15:10,115.48,115.62,115.45,115.55,114.81,115.44,115.67,115.66
8/18/2020 15:15,115.56,115.66,115.50,115.65,114.82,115.46,115.67,115.66
8/18/2020 15:20,115.65,115.71,115.51,115.59,114.83,115.47,115.65,115.66
8/18/2020 15:25,115.59,115.67,115.53,115.56,114.83,115.48,115.64,115.65
8/18/2020 15:30,115.56,115.59,115.49,115.57,114.84,115.49,115.62,115.64
8/18/2020 15:35,115.57,115.71,115.54,115.66,114.85,115.50,115.63,115.64
8/18/2020 15:40,115.66,115.67,115.48,115.53,114.86,115.51,115.61,115.63
8/18/2020 15:45,115.53,115.70,115.50,115.69,114.87,115.52,115.63,115.64
8/18/2020 15:50,115.69,115.71,115.59,115.62,114.88,115.54,115.62,115.63
8/18/2020 15:55,115.62,115.64,115.44,115.52,114.88,115.55,115.61,115.62
8/18/2020 16:00,115.52,115.62,115.50,115.52,114.89,115.56,115.59,115.61
8/19/2020 9:35,115.99,116.27,115.62,116.18,114.90,115.58,115.70,115.67
8/19/2020 9:40,116.18,116.59,116.15,116.42,114.91,115.61,115.83,115.74
8/19/2020 9:45,116.40,116.40,115.98,116.12,114.92,115.63,115.88,115.78
8/19/2020 9:50,116.12,116.29,115.80,116.08,114.92,115.64,115.92,115.80
8/19/2020 9:55,116.08,116.21,115.97,116.06,114.93,115.66,115.94,115.83
8/19/2020 10:00,116.06,116.42,115.96,116.16,114.94,115.67,115.98,115.86
8/19/2020 10:05,116.16,116.46,116.16,116.36,114.95,115.69,116.05,115.91
8/19/2020 10:10,116.36,116.69,116.34,116.57,114.96,115.72,116.15,115.97
8/19/2020 10:15,116.57,116.80,116.53,116.71,114.97,115.75,116.25,116.04
8/19/2020 10:20,116.71,116.72,116.48,116.63,114.98,115.77,116.32,116.10
8/19/2020 10:25,116.64,116.64,116.45,116.62,114.99,115.79,116.37,116.15
8/19/2020 10:30,116.62,116.73,116.51,116.72,115.00,115.81,116.44,116.20
8/19/2020 10:35,116.72,116.88,116.67,116.72,115.01,115.84,116.49,116.25
8/19/2020 10:40,116.72,116.92,116.72,116.86,115.02,115.87,116.56,116.31
8/19/2020 10:45,116.86,116.93,116.70,116.73,115.03,115.90,116.59,116.35
8/19/2020 10:50,116.73,116.96,116.60,116.90,115.04,115.93,116.64,116.40
8/19/2020 10:55,116.90,117.02,116.78,116.85,115.05,115.96,116.68,116.44
8/19/2020 11:00,116.85,117.02,116.75,116.98,115.06,115.99,116.74,116.50
8/19/2020 11:05,116.98,117.16,116.95,117.04,115.07,116.02,116.79,116.55
8/19/2020 11:10,117.04,117.11,116.95,117.04,115.09,116.05,116.84,116.59
8/19/2020 11:15,117.04,117.07,116.68,116.68,115.10,116.07,116.81,116.60
8/19/2020 11:20,116.68,116.97,116.64,116.81,115.11,116.09,116.81,116.62
8/19/2020 11:25,116.81,116.89,116.69,116.74,115.12,116.11,116.79,116.63
8/19/2020 11:30,116.74,116.90,116.65,116.88,115.13,116.13,116.81,116.66
8/19/2020 11:35,116.90,116.98,116.85,116.94,115.15,116.16,116.83,116.68
