Date,Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20,,next close
8/17/20 11:40,114.30,114.36,114.14,114.17,114.50,114.61,114.47,114.58,,114.02
8/17/20 11:45,114.18,114.21,113.99,114.02,114.50,114.60,114.39,114.53,,114.18
8/17/20 11:50,114.02,114.19,113.96,114.18,114.51,114.59,114.35,114.50,,114.22
8/17/20 11:55,114.19,114.25,114.11,114.22,114.52,114.59,114.33,114.47,,114.34
8/17/20 12:00,114.22,114.39,114.21,114.34,114.52,114.59,114.33,114.46,,114.56
8/17/20 12:05,114.34,114.59,114.34,114.56,114.53,114.59,114.37,114.47,,114.41
8/17/20 12:10,114.56,114.56,114.38,114.41,114.54,114.60,114.38,114.46,,114.36
8/17/20 12:15,114.41,114.42,114.29,114.36,114.55,114.59,114.37,114.45,,114.37
8/17/20 12:20,114.36,114.43,114.31,114.37,114.55,114.59,114.37,114.44,,114.46
8/17/20 12:25,114.37,114.50,114.27,114.46,114.56,114.59,114.39,114.45,,114.41
8/17/20 12:30,114.46,114.55,114.40,114.41,114.57,114.60,114.39,114.44,,114.37
8/17/20 12:35,114.41,114.46,114.33,114.37,114.58,114.60,114.39,114.44,,114.36
8/17/20 12:40,114.37,114.40,114.28,114.36,114.58,114.60,114.38,114.43,,114.40
8/17/20 12:45,114.36,114.45,114.31,114.40,114.59,114.60,114.39,114.43,,114.50
8/17/20 12:50,114.40,114.56,114.35,114.50,114.60,114.60,114.41,114.43,,114.64
8/17/20 12:55,114.51,114.66,114.51,114.64,114.61,114.62,114.45,114.45,,114.67
8/17/20 13:00,114.64,114.68,114.53,114.67,114.62,114.63,114.49,114.47,,114.69
8/17/20 13:05,114.67,114.80,114.61,114.69,114.62,114.64,114.53,114.49,,114.72
8/17/20 13:10,114.69,114.78,114.63,114.72,114.63,114.65,114.56,114.52,,114.71
8/17/20 13:15,114.72,114.78,114.67,114.71,114.63,114.66,114.59,114.53,,114.73
8/17/20 13:20,114.71,114.79,114.69,114.73,114.63,114.66,114.61,114.55,,114.64
8/17/20 13:25,114.73,114.74,114.60,114.64,114.63,114.67,114.62,114.56,,114.47
8/17/20 13:30,114.64,114.64,114.36,114.47,114.63,114.67,114.59,114.55,,114.40
8/17/20 13:35,114.47,114.49,114.29,114.40,114.64,114.66,114.56,114.54,,114.42
8/17/20 13:40,114.40,114.44,114.32,114.42,114.64,114.65,114.53,114.53,,114.52
8/17/20 13:45,114.42,114.53,114.41,114.52,114.64,114.63,114.53,114.52,,114.57
8/17/20 13:50,114.52,114.61,114.51,114.57,114.64,114.61,114.53,114.53,,114.57
8/17/20 13:55,114.57,114.62,114.49,114.57,114.64,114.60,114.54,114.53,,114.67
8/17/20 14:00,114.57,114.68,114.50,114.67,114.64,114.58,114.56,114.54,,114.72
8/17/20 14:05,114.67,114.75,114.60,114.72,114.64,114.56,114.59,114.56,,114.86
8/17/20 14:10,114.72,114.89,114.72,114.86,114.65,114.55,114.64,114.59,,114.95
8/17/20 14:15,114.86,115.11,114.86,114.95,114.65,114.54,114.70,114.62,,114.98
8/17/20 14:20,114.95,115.03,114.91,114.98,114.65,114.54,114.75,114.66,,115.10
8/17/20 14:25,114.98,115.13,114.91,115.10,114.65,114.54,114.81,114.70,,115.04
8/17/20 14:30,115.10,115.11,114.99,115.04,114.65,114.56,114.85,114.73,,115.17
8/17/20 14:35,115.04,115.23,115.04,115.17,114.65,114.57,114.91,114.77,,115.16
8/17/20 14:40,115.17,115.19,115.10,115.16,114.65,114.58,114.95,114.81,,114.97
8/17/20 14:45,115.16,115.16,114.92,114.97,114.65,114.59,114.96,114.83,,114.85
8/17/20 14:50,114.97,114.98,114.85,114.85,114.64,114.59,114.94,114.83,,114.97
8/17/20 14:55,114.85,115.01,114.83,114.97,114.64,114.60,114.95,114.84,,115.07
8/17/20 15:00,114.97,115.08,114.96,115.07,114.64,114.60,114.97,114.86,,114.85
8/17/20 15:05,115.07,115.08,114.84,114.85,114.64,114.60,114.95,114.86,,114.81
8/17/20 15:10,114.84,114.93,114.78,114.81,114.64,114.61,114.92,114.86,,114.70
8/17/20 15:15,114.81,114.82,114.64,114.70,114.64,114.62,114.88,114.84,,114.79
8/17/20 15:20,114.70,114.86,114.67,114.79,114.63,114.62,114.86,114.84,,114.86
8/17/20 15:25,114.78,114.87,114.73,114.86,114.63,114.63,114.86,114.84,,114.92
8/17/20 15:30,114.86,114.95,114.82,114.92,114.63,114.63,114.87,114.85,,114.89
8/17/20 15:35,114.92,114.97,114.86,114.89,114.63,114.64,114.88,114.85,,115.04
8/17/20 15:40,114.89,115.06,114.89,115.04,114.63,114.65,114.91,114.87,,115.04
8/17/20 15:45,115.04,115.14,115.02,115.04,114.63,114.66,114.93,114.89,,114.99
8/17/20 15:50,115.04,115.04,114.93,114.99,114.63,114.68,114.94,114.90,,114.82
8/17/20 15:55,114.99,115.20,114.75,114.82,114.62,114.70,114.92,114.89,,114.60
8/17/20 16:00,114.82,114.84,114.50,114.60,114.62,114.71,114.86,114.86,,114.67
8/18/20 9:35,114.36,114.91,114.35,114.67,114.61,114.71,114.83,114.84,,115.44
8/18/20 9:40,114.67,115.50,114.63,115.44,114.61,114.74,114.94,114.90,,115.03
8/18/20 9:45,115.44,115.47,115.02,115.03,114.61,114.75,114.95,114.91,,115.06
8/18/20 9:50,115.03,115.35,115.03,115.06,114.61,114.76,114.97,114.93,,114.22
8/18/20 9:55,115.06,115.07,114.21,114.22,114.60,114.76,114.84,114.86,,114.62
8/18/20 10:00,114.22,114.65,114.18,114.62,114.59,114.76,114.80,114.84,,114.60
8/18/20 10:05,114.62,114.69,114.52,114.60,114.59,114.76,114.76,114.81,,114.19
8/18/20 10:10,114.60,114.62,114.18,114.19,114.58,114.76,114.66,114.75,,114.57
8/18/20 10:15,114.19,114.59,114.13,114.57,114.57,114.76,114.64,114.74,,114.48
8/18/20 10:20,114.58,114.65,114.44,114.48,114.56,114.77,114.61,114.71,,114.28
8/18/20 10:25,114.48,114.50,114.21,114.28,114.56,114.76,114.55,114.67,,114.11
8/18/20 10:30,114.28,114.43,114.06,114.11,114.55,114.76,114.47,114.62,,114.40
8/18/20 10:35,114.11,114.40,114.01,114.40,114.54,114.75,114.46,114.60,,114.41
8/18/20 10:40,114.40,114.50,114.31,114.41,114.54,114.75,114.45,114.58,,114.66
8/18/20 10:45,114.41,114.67,114.18,114.66,114.54,114.75,114.49,114.59,,114.86
8/18/20 10:50,114.66,114.90,114.61,114.86,114.53,114.75,114.56,114.61,,114.99
8/18/20 10:55,114.86,115.10,114.86,114.99,114.53,114.75,114.63,114.65,,114.99
8/18/20 11:00,114.99,115.01,114.89,114.99,114.53,114.76,114.70,114.68,,114.85
8/18/20 11:05,114.99,115.00,114.83,114.85,114.53,114.76,114.73,114.70,,115.05
8/18/20 11:10,114.85,115.06,114.82,115.05,114.52,114.77,114.79,114.73,,114.98
